"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","mu.survival.max","max.RNA.DNA.ratio","mu.fast.max","mu.affinity.max"
"16","245c832500126db82be700c6e6cd89c9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,NA,NA,5.42037890324911,NA
"17","28c737a9d8dc74c63ee39e856a2f8804","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","uncultured_bacterium",NA,NA,NA,4.01415827674906
"18","2ae3244daa02954ab85e4f15d242d56e","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA,NA,NA,4.55049373462528,NA
"19","2b4f6e0d1d241d369bdc4135a245a3de","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,5.03546866931906,1.77126088050981,NA,NA
"20","2e5d9c970db44d81a7702c52e5ccc6a8","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","uncultured",NA,NA,NA,4.57083180923254,NA
"21","2eb89b72387f62f1dacc5bfd0bc976fa","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20",NA,NA,NA,3.8356769755932,NA
"22","32eee061f110335d64c7d322f12689f7","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,NA,NA,3.46359535116812,NA
"23","3599e263feeb59b241a7b1e007af2db2","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,NA,NA,6.68112926809567,NA
"24","38337ee5672ad5c954a8df42da08a1f1","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella","Taibaiella_sp.",NA,NA,5.19812379247964,NA
"25","38e408096715019f884a6f24fe4464dc","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_bacterium",NA,NA,5.04373186568249,NA
"26","3b3106f9a6f3195ac2d959c9e75e5699","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured",NA,5.4168217015875,1.79952487476578,NA,NA
"27","3d1414d60e1ba641805bcce7d38a8fdc","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA,NA,NA,NA,4.67054555904928
"28","3d43465ca3385f3ea1b4fdc22c0fca81","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,4.01320831576627
"29","4460ceb8415827ba9a45f79aedb16f92","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","uncultured_bacterium",NA,NA,4.32489349522102,NA
"30","446d8bfd4a90e7ad0dafa252a409aae4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA,NA,NA,5.3151198954922,NA
"31","4de56403a4966bb284e7097cd7f91e36","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum","uncultured_bacterium",NA,NA,NA,2.82097180628077
"32","4e542cca70252df4a37173a8f82f0224","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter","metagenome",NA,NA,5.56281302482942,NA
"33","552a42fe946bd10def04d32af880b42c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA,NA,NA,4.38122674939237,NA
"34","5b04ea262d146c2898c4c577a093f1b4","Bacteria","Chloroflexi","AD3","AD3","AD3","AD3","uncultured_Chloroflexi",2.67174032844001,1.11735479303602,NA,NA
"35","5bde28b8aae3ceb46a43126afa4915c0","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA,NA,NA,4.35057601350914,NA
"36","5c544006a016d76e2414ed00b4585ae5","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",NA,NA,NA,NA,4.44672718859956,NA
"37","5f27efe23a223d52b30c0865bce79e0a","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02",NA,NA,NA,NA,5.37981543229133
"38","62ddf0f46d3a5ae2e4194147a48d9e3e","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA,NA,NA,4.76581020861008,4.22028383243014
"39","6466aa53adc18d74c66bfebb47d6c1fb","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,4.51878800602731,4.00801250100042,NA,1.98793505261596
"40","6510c27b094bbe55481191eb472c9362","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","uncultured_forest",5.05982467387017,16.8909475254912,NA,NA
"41","65819ed6bb34a6ce9737d42390399320","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03",NA,NA,NA,3.60007899628594,NA
"42","6898520892f36d2f9597b1c708e294f0","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA,NA,NA,1.96137926330683
"43","69bc8240d2709b12ee1780f115b9af12","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,NA,3.18370780826335,NA
"44","6a0015f73479090a19ff431cc3a19853","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia","uncultured_Acidimicrobiia",NA,NA,NA,5.34226152003949
"45","6b18a2be241e233a11a337db64d9445b","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","metagenome",NA,NA,2.53736650107126,NA
"46","6b780e361cfc5f06def718518324bdcb","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,NA,NA,5.0252060200753,NA
"47","6dbd844e1b6405e231318b67a880a6d8","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,NA,4.92504826218866,NA
"48","738303d844782d39ef75d82c10cbfa02","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","uncultured_bacterium",NA,NA,NA,5.34810591614313
"49","73f720f04addfa2916f439b04c2d87ec","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured",NA,5.76848007920005,1.61482537811606,NA,NA
"50","7599addc61c3e3b8f2f7af63576958f3","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA,NA,NA,5.19464520285616,NA
"51","76ce53a1beacd56603a750f80810de6a","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group","uncultured_soil",NA,NA,3.71632901055603,NA
"52","77f35a4aeebcf85ee7da3c77e9520526","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA,NA,NA,4.1874135233829,NA
"53","7a17463046205098d7437b66bf64397b","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",NA,NA,5.85994974403437,1.42373351506993,NA,NA
"54","7c94e45a8ec3bc86748be7c67aaed428","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA,NA,NA,5.30754805348681,NA
"55","7d92cd1de93d68c2a034b131d2a23551","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,NA,NA,5.33902012156099,NA
"56","7e770415b8c2d611c4a30b2a624341c6","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,NA,3.12809516946192,NA
"57","8139d614a1845d34472a26b343ea9bc2","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",NA,NA,NA,4.60750193030745,NA
"58","8292c792c3d223b0b8a4bd170c73a0c1","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA,NA,NA,NA,3.87543096633543
"59","83e65de884a34dd10b6a46d52bd59555","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA,NA,NA,NA,5.77457464183615
"60","850762a4b6638691bc697cee01f6a176","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured",NA,NA,NA,3.77080643434538,NA
"61","88b510e260fc16d6f55015a77fc905c3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,NA,NA,5.76713876040463,NA
"62","8adb5559e135233565acfea1287280bf","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,9.86551237815915,12.0546391340816,NA,NA
"63","8d35b756634b4588349a78a0866b8b94","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA,NA,6.40805891419083,NA
"64","8dcbe370bef1c40877ce58ea279930b0","Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium",NA,NA,NA,4.14354304494515,NA
"65","8eef0ea88811db649f910d3fea025a69","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus",NA,NA,NA,7.37345950973686,NA
"66","8f0e2646c1389192d5a822f62bd295cf","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,7.36159163375739,6.42938761281326,NA,NA
"67","8f625be9ec0bce4f0468db9763e3b999","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Myxococcus",NA,NA,NA,NA,6.53200738378986
"68","91409bfd7eb8a72fd4a9499aace39fec","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA,NA,NA,NA,3.97058716514961
"69","942d6164c4fd8a977d415c2b1b385d3c","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA,NA,NA,3.80327876215471,NA
"70","947f633c5d19a6cfbe6ce385a843ccfc","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA,NA,3.14022623098945,NA
"71","9689c66ceec4e0bbf3ef9cebf829badf","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured",NA,NA,NA,5.58560298126476,NA
"72","9c606c05153d5edbe12fdce6889f9280","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA,6.5768999592021,4.37803813108323,NA,NA
"73","a0b498b288e348159c9d7ded43bf834e","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,4.28492076589455,6.83497822081296,NA,NA
"74","a1db0f8c0f1777198115f0a67bebf923","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Candidatus_Nostocoida","uncultured_bacterium",NA,NA,5.01464994097688,NA
"75","a44ac69c3cb5091364cfb22aed99d913","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus",NA,NA,NA,7.7855237697053,NA
"76","a7ca53c7388ac1d9324bfd68cc31a432","Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","Symbiobacterium","iron-reducing_bacterium",NA,NA,6.7177557902932,NA
"77","a9ad2b7b104ba23b9b166c1cd5855627","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA,NA,5.65610652848356,NA
"78","aa4fb4dd293807c66aa6b76de0ac805d","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus",NA,NA,NA,3.68528678274913,NA
"79","aec453a9bfb69fc9a772a49e1b8031e6","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured_soil",NA,NA,3.57936446032467,NA
"80","b00f2444815b116783ae4ed45bc75ce7","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata",NA,NA,NA,6.27861054071221,NA
"81","b194e73207663a5ffd538f3a473dda91","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Actinoallomurus_sp.",NA,NA,7.52676619150635,NA
"82","b31a7391303abd3bd54506e1b14fc088","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",NA,NA,NA,NA,5.83039590890995
"83","b35fd64d1828ab228940026d7c8456c0","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus",NA,6.64322286713678,3.29913367402601,3.82590740279864,NA
"84","b526eae2d8a908efa6ac93bdf7c71ee9","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA,NA,NA,3.30944218262892,NA
"85","b7556aaa9ba579fc9bdca875fe83bcef","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055",NA,NA,NA,NA,4.94407880145215
"86","b8d900d4f91572509740ad5213ac2ab6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,NA,NA,4.18779328513871,NA
"87","bd741130cf63cc410602925c320a7f98","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA,NA,NA,4.84352483046341,NA
"88","c0e3856ccafdee82f63a8cd108a750e4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,NA,NA,2.52519980159058,NA
"89","c0edf488091b49bce817d72038103b2b","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","D05-2",NA,NA,NA,2.51779301597649,2.25947949873652
"90","c1e8972cc100fb9e0357e3c5b4ee5ef8","Bacteria","Firmicutes","Symbiobacteriia","Symbiobacteriales","Symbiobacteraceae","uncultured","bacterium_T33.8",NA,NA,3.35485444579278,NA
"91","c29dea12154c8f4feb0f88e1dcdde50d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium",NA,NA,NA,6.15564024488507,NA
"92","c5f33ada8000106647023927758d1cc7","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea","metagenome",NA,NA,5.99892535160005,NA
"93","c6a924e16cac1eac8147ae0d4661bad1","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","uncultured_bacterium",NA,NA,5.37726871494524,NA
"94","c6dfcd02ff1373cbc48e4a10c4bc9db0","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA,2.79768184326435,13.7974535040199,NA,NA
"95","c8a31d64ac16e0ed2114d7df4f35dbc6","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA,NA,NA,6.15903364728674
"96","cada74c523bbcb4ac529436cbae14074","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA,NA,NA,NA,6.3180358458802
"97","cb8c864012da2559c733f13967403e13","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus_ginsengisoli",NA,NA,6.17870008343453,NA
"98","cc876c8847f767b2d38ebe582a1e710b","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,NA,NA,3.42225715808395,NA
"99","d121bd485f7e8eb86d2007f9c3693659","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13",NA,3.82489736365798,5.76674330361315,2.52986112122689,NA
"100","d2d159170b8aca8e76834b1bede8a3c1","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Sphaerisporangium",NA,NA,NA,NA,6.13156757847714
"101","dca8d886277c62d85e37a1b23c972981","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured",NA,5.92006243432004,5.48663911633729,NA,NA
"102","dde30794f51d8dfdad417749acdd6f50","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus",NA,NA,NA,5.40287217327498,NA
"103","e28f85a306f354ad15df68cd8956f468","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA,NA,NA,NA,4.7349990358212
"104","e77e8019de6f172463ad690e96c5fd34","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA,NA,NA,NA,6.04965685762398
"105","e8fb1a2dc388a1cc956fa6edd02e034f","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","metagenome",NA,NA,3.25156763627592,NA
"106","e93761a45406dd110ed42fb4740dce1a","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA,NA,NA,NA,6.17477480654581
"107","eb175b48283334e153cd542b1756a647","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA,NA,4.59238210627833,NA
"108","ecedd19d2fdf3cc22ede9b427b371321","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus",NA,NA,NA,6.51530906156188,NA
"109","eefb3cd8c3743a8c08533f562269969b","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","JCM_18997","uncultured_bacterium",NA,NA,3.37646797149547,NA
"110","efb5302bcbc3534c93db160d6aa53691","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured_bacterium",NA,NA,NA,4.21677268230196
"111","f06db5a319aebeaeba931e336c3982c1","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA,NA,NA,4.524166761676,NA
"112","f1689882648ce2182ce78fc3a63aa607","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA,NA,NA,NA,5.11619936329399
"113","f26bef7f1cdbddeeef9b11dde4d9426a","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella",NA,NA,NA,NA,6.02240634148932
"114","f4e5d75a9e44d767d2e863aa66a09b4e","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_pectinilyticus",7.05003713812675,8.07308378762308,NA,NA
"115","f870a3afcee12e9080cc36c91ce11b64","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","WD2101_soil_group","uncultured_Planctomycetales",NA,NA,5.7483112215723,NA
"116","fad7959733a200344fe5a2a9f6252f81","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA,2.96496847200353,5.29395868622779,NA,NA
"117","fc52193b440e6dbde9942c1c365be9d4","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured_bacterium",NA,NA,7.47289650525855,NA
